"","3km_pragmatic_UNWcost_PB_bp_1","3km_pragmatic_UNWcost_PB_bp_1.27028","3km_pragmatic_UNWcost_PB_bp_1.54057","3km_pragmatic_UNWcost_PB_bp_1.81086","3km_pragmatic_UNWcost_PB_bp_2.08114","3km_pragmatic_UNWcost_PB_bp_2.35142","3km_pragmatic_UNWcost_PB_bp_2.62171","3km_pragmatic_UNWcost_PB_bp_2.892","3km_pragmatic_UNWcost_PB_bp_3.16228"
"Blondekrigged_pa.tif",0.093,0.096,0.098,0.098,0.101,0.101,0.101,0.101,0.093
"BullHusskrigged_pa.tif",0.055,0.057,0.061,0.058,0.064,0.067,0.065,0.059,0.027
"Circalittoral_coarse_sediment_1km.tif",0.2,0.21,0.233,0.188,0.239,0.244,0.219,0.226,0.283
"Circalittoral_mud_1km.tif",0.265,0.285,0.284,0.285,0.284,0.284,0.273,0.284,0.288
"Circalittoral_rock_and_biogenic_reef_1km.tif",0.215,0.222,0.232,0.249,0.235,0.241,0.231,0.256,0.284
"Circalittoral_sand_1km.tif",0.189,0.198,0.236,0.284,0.363,0.473,0.361,0.358,0.409
"cshas_forage_fish_4_and_up.tif",0.321,0.33,0.331,0.324,0.322,0.329,0.323,0.321,0.322
"IfI_Anguilla_anguilla_estuaries_rivermouths_pa_500m.tif",0.345,0.357,0.366,0.366,0.329,0.366,0.366,0.333,0.325
"Infralittoral_coarse_sediment_1km.tif",0.271,0.271,0.244,0.274,0.244,0.244,0.244,0.349,0.244
"Infralittoral_mud_1km.tif",0.19,0.19,0.204,0.167,0.204,0.204,0.167,0.204,0.204
"Infralittoral_rock_and_biogenic_reef_1km.tif",0.186,0.178,0.173,0.216,0.173,0.173,0.168,0.216,0.173
"Infralittoral_sand_1km.tif",0.207,0.207,0.17,0.256,0.17,0.17,0.17,0.306,0.277
"juvenile_blue_skate.tif",0.47,0.455,0.456,0.468,0.485,0.488,0.504,0.547,0.614
"kelp_pa_1km.tif",0.177,0.195,0.168,0.229,0.168,0.173,0.168,0.178,0.176
"mature_female_flappers.tif",0.204,0.207,0.2,0.19,0.19,0.19,0.19,0.16,0.145
"MI_Herring_Spawning_Beds_percent_cover.tif",0.406,0.372,0.343,0.362,0.343,0.355,0.331,0.35,0.343
"observe_density_2021_2022_1km.tif",0.279,0.278,0.279,0.28,0.277,0.278,0.278,0.277,0.279
"OBSERVE_predicted_cetorhinus_maximus.tif",0.215,0.217,0.221,0.218,0.204,0.202,0.198,0.216,0.224
"Offshore_circalittoral_coarse_sediment_1km.tif",0.196,0.2,0.202,0.198,0.201,0.195,0.197,0.191,0.19
"Offshore_circalittoral_mixed_sediment_1km.tif",1,1,1,1,1,1,1,1,1
"Offshore_circalittoral_mud_1km.tif",0.402,0.392,0.398,0.405,0.42,0.421,0.427,0.414,0.462
"Offshore_circalittoral_rock_and_biogenic_reef_1km.tif",0.432,0.407,0.399,0.39,0.379,0.388,0.375,0.349,0.356
"Offshore_circalittoral_sand_1km.tif",0.328,0.325,0.326,0.326,0.327,0.324,0.327,0.325,0.313
"RJF_occProb_Shagreen_ray.tif",0.367,0.362,0.363,0.366,0.372,0.372,0.376,0.378,0.389
"sabellaria_layer_binary_1km.tif",0.249,0.249,0.164,0.211,0.164,0.211,0.164,0.211,0.164
"Salmon_Estuaries_Rivermouths_pa_500m.tif",0.342,0.354,0.363,0.361,0.327,0.363,0.361,0.33,0.323
"sandeels_logged_buffered_1km.tif",0.327,0.322,0.419,0.322,0.426,0.426,0.418,0.327,0.325
"seapen_layer_binary_1km.tif",0.321,0.316,0.321,0.347,0.347,0.342,0.352,0.397,0.468
"Turbotkrigged_pa.tif",0.152,0.154,0.156,0.154,0.154,0.156,0.159,0.163,0.164
"UCD_OC_stock_kg_m2_upper10cm.tif",0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
"UCD_Percentatge_OC_content_in_sediment.tif",0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.325
"zostera_pa_1km.tif",0.229,0.229,0.116,0.138,0.116,0.116,0.116,0.116,0.116
"CelticSeaFront",0.321,0.321,0.327,0.322,0.365,0.32,0.322,0.324,0.32
"coastal_front",0.323,0.323,0.321,0.323,0.321,0.321,0.321,0.322,0.335
