"","1km_initial_Vessels_LA_bp_0.01334","1km_initial_Vessels_LA_bp_0.02105","1km_initial_Vessels_LA_bp_0.02875","1km_initial_Vessels_LA_bp_0.03646","1km_initial_Vessels_LA_bp_0.04417","1km_initial_Vessels_LA_bp_0.05187","1km_initial_Vessels_LA_bp_0.05958","1km_initial_Vessels_LA_bp_0.06728","1km_initial_Vessels_LA_bp_0.07499"
"Blondekrigged_pa.tif",0.28,0.28,0.285,0.28,0.283,0.28,0.28,0.292,0.28
"BullHusskrigged_pa.tif",0.28,0.28,0.297,0.281,0.28,0.28,0.28,0.28,0.297
"Circalittoral_coarse_sediment_1km.tif",0.28,0.281,0.342,0.28,0.28,0.281,0.28,0.281,0.303
"Circalittoral_mud_1km.tif",0.326,0.303,0.304,0.334,0.326,0.334,0.337,0.333,0.332
"Circalittoral_rock_and_biogenic_reef_1km.tif",0.28,0.281,0.291,0.298,0.284,0.296,0.285,0.28,0.287
"Circalittoral_sand_1km.tif",0.28,0.28,0.28,0.355,0.352,0.362,0.368,0.376,0.394
"cshas_forage_fish_4_and_up.tif",0.29,0.285,0.29,0.28,0.28,0.323,0.312,0.28,0.319
"IfI_Anguilla_anguilla_estuaries_rivermouths_pa_500m.tif",0.579,0.576,0.576,0.576,0.571,0.571,0.568,0.571,0.571
"Infralittoral_coarse_sediment_1km.tif",0.31,0.31,0.293,0.31,0.31,0.328,0.31,0.31,0.31
"Infralittoral_mud_1km.tif",0.299,0.309,0.309,0.309,0.299,0.299,0.423,0.423,0.423
"Infralittoral_rock_and_biogenic_reef_1km.tif",0.288,0.281,0.283,0.298,0.293,0.329,0.281,0.281,0.281
"Infralittoral_sand_1km.tif",0.281,0.286,0.281,0.343,0.343,0.352,0.367,0.343,0.395
"juvenile_blue_skate.tif",0.3,0.315,0.321,0.316,0.31,0.314,0.31,0.306,0.28
"kelp_pa_1km.tif",0.28,0.283,0.283,0.301,0.33,0.31,0.28,0.28,0.28
"mature_female_flappers.tif",0.58,0.644,0.697,0.716,0.699,0.664,0.677,0.648,0.533
"MI_Herring_Spawning_Beds_percent_cover.tif",0.319,0.307,0.358,0.305,0.342,0.282,0.303,0.281,0.284
"observe_density_2021_2022_1km.tif",0.283,0.28,0.28,0.28,0.324,0.304,0.313,0.335,0.28
"OBSERVE_predicted_cetorhinus_maximus.tif",0.313,0.321,0.298,0.297,0.297,0.291,0.298,0.296,0.311
"Offshore_circalittoral_coarse_sediment_1km.tif",0.289,0.296,0.302,0.294,0.297,0.291,0.298,0.306,0.297
"Offshore_circalittoral_mixed_sediment_1km.tif",0.4,0.4,0.371,0.343,0.714,0.4,0.371,0.4,0.286
"Offshore_circalittoral_mud_1km.tif",0.283,0.28,0.281,0.284,0.28,0.28,0.28,0.28,0.32
"Offshore_circalittoral_rock_and_biogenic_reef_1km.tif",0.416,0.455,0.481,0.473,0.569,0.547,0.568,0.534,0.461
"Offshore_circalittoral_sand_1km.tif",0.289,0.283,0.28,0.28,0.282,0.294,0.292,0.288,0.295
"RJF_occProb_Shagreen_ray.tif",0.282,0.28,0.282,0.28,0.28,0.28,0.28,0.28,0.28
"sabellaria_layer_binary_1km.tif",0.353,0.294,0.353,0.294,0.353,0.294,0.294,0.294,0.294
"Salmon_Estuaries_Rivermouths_pa_500m.tif",0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562
"sandeels_logged_buffered_1km.tif",0.285,0.29,0.283,0.281,0.292,0.323,0.346,0.347,0.377
"seapen_layer_binary_1km.tif",0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284
"Turbotkrigged_pa.tif",0.283,0.28,0.285,0.286,0.28,0.28,0.28,0.28,0.28
"UCD_OC_stock_kg_m2_upper10cm.tif",0.283,0.281,0.284,0.281,0.282,0.289,0.288,0.284,0.291
"UCD_Percentatge_OC_content_in_sediment.tif",0.281,0.28,0.283,0.28,0.28,0.287,0.286,0.282,0.29
"zostera_pa_1km.tif",0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288
"CelticSeaFront",0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
"coastal_front",0.56,0.56,0.56,0.572,0.56,0.56,0.56,0.56,0.56
